x_label;y_label;cl_x;cl_y;hl_x;hl_y;id7
21;J;13.9209;5.9661;0;0;TUBE.178
23;J;15.2467;5.9661;0;0;TUBE.179
25;J;16.5725;5.9661;0;0;TUBE.180
27;J;17.8983;5.9661;0;0;TUBE.181
29;J;19.2241;5.9661;0;0;TUBE.182
31;J;20.5499;5.9661;0;0;TUBE.183
33;J;21.8757;5.9661;0;0;TUBE.184
35;J;23.2015;5.9661;0;0;TUBE.185
20;K;13.258;6.629;0;0;TUBE.186
22;K;14.5838;6.629;0;0;TUBE.187
24;K;15.9096;6.629;0;0;TUBE.188
26;K;17.2354;6.629;0;0;TUBE.189
28;K;18.5612;6.629;0;0;TUBE.190
30;K;19.887;6.629;0;0;TUBE.191
32;K;21.2128;6.629;0;0;TUBE.192
34;K;22.5386;6.629;0;0;TUBE.193
36;K;23.8644;6.629;0;0;TUBE.194
37;A;25.1902;0;0;0;TUBE.195
39;A;26.516;0;0;0;TUBE.196
41;A;27.8418;0;0;0;TUBE.197
43;A;29.1676;0;0;0;TUBE.198
45;A;30.4934;0;0;0;TUBE.199
47;A;31.8192;0;0;0;TUBE.200
49;A;33.145;0;0;0;TUBE.201
51;A;34.4708;0;0;0;TUBE.202
53;A;35.7966;0;0;0;TUBE.203
55;A;37.1224;0;0;0;TUBE.204
38;B;25.8531;0.6629;0;0;TUBE.205
40;B;27.1789;0.6629;0;0;TUBE.206
42;B;28.5047;0.6629;0;0;TUBE.207
44;B;29.8305;0.6629;0;0;TUBE.208
46;B;31.1563;0.6629;0;0;TUBE.209
48;B;32.4821;0.6629;0;0;TUBE.210
50;B;33.8079;0.6629;0;0;TUBE.211
52;B;35.1337;0.6629;0;0;TUBE.212
54;B;36.4595;0.6629;0;0;TUBE.213
37;C;25.1902;1.3258;0;0;TUBE.214
39;C;26.516;1.3258;0;0;TUBE.215
41;C;27.8418;1.3258;0;0;TUBE.216
43;C;29.1676;1.3258;0;0;TUBE.217
45;C;30.4934;1.3258;0;0;TUBE.218
47;C;31.8192;1.3258;0;0;TUBE.219
49;C;33.145;1.3258;0;0;TUBE.220
51;C;34.4708;1.3258;0;0;TUBE.221
53;C;35.7966;1.3258;0;0;TUBE.222
55;C;37.1224;1.3258;0;0;TUBE.223
38;D;25.8531;1.9887;0;0;TUBE.224
40;D;27.1789;1.9887;0;0;TUBE.225
42;D;28.5047;1.9887;0;0;TUBE.226
44;D;29.8305;1.9887;0;0;TUBE.227
46;D;31.1563;1.9887;0;0;TUBE.228
48;D;32.4821;1.9887;0;0;TUBE.229
